date,total_volume_usd,avg_trade_size_usd,trade_count,total_pnl,avg_pnl,winning_trades,unique_accounts,unique_coins,win_rate,avg_pnl_per_dollar,value,classification
2023-03-28,477.0,159.0,3,0.0,0.0,0,1,1,0.0,0.0,59,Greed
2023-11-14,11555429.76,11057.83,1045,155.5,0.15,287,2,19,27.46,0.0013,69,Greed
2024-03-09,39406770.25,5660.27,6962,176965.49,25.42,3412,5,72,49.01,0.4491,84,Extreme Greed
2024-07-03,21843234.35,3058.85,7141,158742.38,22.23,2265,8,79,31.72,0.7267,50,Neutral
2024-10-27,103947765.09,2949.63,35241,3189461.03,90.5,15915,29,122,45.16,3.0683,74,Greed
2025-02-19,704158492.98,5259.98,133871,6699925.19,50.05,55576,32,154,41.51,0.9515,44,Fear
