date,value,classification,total_volume_usd,avg_trade_size_usd,trade_count,total_pnl,avg_pnl,winning_trades,unique_accounts,unique_coins,win_rate,avg_pnl_per_dollar,sentiment_score,is_profitable,is_high_volume,is_high_winrate,efficiency_score
2023-03-28,59.0,Greed,477.0,159.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,59.0,False,False,False,0.0
2023-11-14,69.0,Greed,11555429.76,11057.83,1045.0,155.5,0.15,287.0,2.0,19.0,27.46,0.0013,69.0,True,False,False,0.0013
2024-03-09,84.0,Extreme Greed,39406770.25,5660.27,6962.0,176965.49,25.42,3412.0,5.0,72.0,49.01,0.4491,84.0,True,True,True,0.4491
2024-07-03,50.0,Neutral,21843234.35,3058.85,7141.0,158742.38,22.23,2265.0,8.0,79.0,31.72,0.7267,50.0,True,False,False,0.7267
2024-10-27,74.0,Greed,103947765.09,2949.63,35241.0,3189461.03,90.5,15915.0,29.0,122.0,45.16,3.0683,74.0,True,True,True,3.0683
2025-02-19,44.0,Fear,704158492.98,5259.98,133871.0,6699925.19,50.05,55576.0,32.0,154.0,41.51,0.9515,44.0,True,True,True,0.9515
